主诉关键词,症状路径组模块名,核心提问维度,判断依据症状,红旗症状关键词(触发L3)
咳嗽,呼吸-咳嗽模块,起病时间、有痰性质、发热、胸痛、喘息,咳嗽性质、持续时间,呼吸困难、持续高热、胸痛
咽痛,呼吸-咽炎模块,咽痛程度、吞咽痛、扁桃体肿大、是否脓点,声音嘶哑、发热持续,喉咙水肿、呼吸受限
发热,全身-发热模块,起病天数、温度峰值、是否寒战、退热反应,体温波动趋势,高热>40℃、意识模糊
头痛,神经-头痛模块,部位、性质、频率、视觉变化、伴呕吐,疼痛突然加剧或模式改变,突发剧烈头痛、昏迷、颈项强直
头晕,神经-眩晕模块,发作时长、体位性、是否视物旋转、耳鸣,无法站立持续>1h,突发晕厥、持续呕吐
胸痛,心肺-胸痛模块,性质(钝/刀割/压迫)、发作诱因、放射方向,胸痛性质与体位/活动关系,压迫感伴呼吸困难、出冷汗
心悸,心血管-心律模块,持续/阵发性、心率快慢、自觉跳动强弱,心率变化模式,心率>140或<50、伴头晕晕厥
腹痛,消化-腹痛模块,起病部位、性质、是否放射、进食/按压痛,腹痛与进食/体位关系,持续剧烈痛、反跳痛、黑便
腹泻,消化-腹泻模块,频次、性状（水样/粘液/血便）、脱水表现,排便量及脱水程度,黏血便、高热脱水
呕吐,消化-呕吐模块,食物性/胆汁性/喷射性、有无头痛、进食诱发,呕吐性质与频次,呕血、持续呕吐+脱水
食欲不振,消化-食欲模块,体重变化、恶心、嗅觉异常、焦虑/抑郁史,体重下降速度,消瘦明显、黄疸、贫血
背痛,骨肌-背部模块,部位、活动诱发、是否压痛、是否放射至肢体,是否伴下肢麻木/无力,放射痛伴下肢无力、排尿困难
关节痛,骨肌-关节模块,哪个关节、是否肿胀、晨僵、是否对称、红肿热感,关节肿胀速度与范围,发热+红肿关节、活动受限
皮疹,皮肤-皮疹模块,部位、形态(丘疹/红斑/水疱)、是否瘙痒、发热,皮疹进展速度,伴发热+出血点、皮肤坏死
尿频/尿急,泌尿-排尿模块,尿痛、尿量改变、尿色浑浊、夜尿增加,血尿出现时间,血尿、高热、腰痛
月经异常,妇科-月经模块,提前/延后/经量变化/是否痛经,出血量与周期变化,突发大量阴道出血、闭经+腹痛
白带异常,妇科-白带模块,分泌物颜色、气味、伴瘙痒、性交痛,分泌物颜色与气味变化,黄色脓性、带血、下腹痛
睡眠障碍,心理-睡眠模块,入睡困难/早醒/易醒、梦多、是否影响白天工作,睡眠时长与质量变化,连续3天彻夜难眠、情绪崩溃
情绪低落,心理-情绪模块,情绪低落持续时间、自评生活兴趣、睡眠食欲状态,情绪变化与事件关联,自伤想法、精神恍惚
体检异常发现,通用-异常指标模块,血糖/血压/胆固醇/肿瘤标志物异常、既往体检记录,指标数值变化趋势,多项异常+症状明显、指标值极端异常
鼻塞,呼吸-鼻塞模块,持续时间、伴流涕、打喷嚏、嗅觉变化,鼻塞程度与位置,呼吸困难、嗅觉完全丧失
咳痰,呼吸-咳痰模块,痰色、痰量、痰黏稠度、是否带血,痰色与黏稠度变化,咳血、呼吸困难
呼吸困难,呼吸-呼吸困难模块,起病速度、活动耐量、睡眠体位影响,呼吸困难体位依赖性,静息呼吸困难、紫绀
尿痛,泌尿-尿痛模块,烧灼痛、排尿终末痛、持续痛、尿频程度,尿痛与排尿阶段关系,高热、血尿、腰痛